Item,Numberin stock,Pricesold at,Pricebought at,GE price
Leather body,10,21,10,4
Hardleather body,10,170,85,3
Studded body,10,850,425,395
Leather chaps,20,20,10,1
Studded chaps,15,750,375,351
Coif,10,200,100,15
Leather cowl,10,24,12,2
Leather vambraces,10,18,9,1
Vial of water,500,2,0,4
Water-filled vial pack,250,261,80,Not sold
Bronze pickaxe,2,1,0,71
Iron axe,2,72,22,5
Cooked meat,2,5,1,31
Tinderbox,2,1,0,73
Ball of wool,30,2,0,55
Bronze arrow,500,1,0,7
Rope,20,23,7,57
Papyrus,50,13,4,201
Knife,2,7,2,96
Skirt (lilac),3,715,302,1281
Skirt (blue),3,812,343,1576
Trousers (lilac),3,910,385,1755
Trousers (blue),3,975,412,1296
Shorts (yellow),3,468,198,1466
Shorts (blue),3,507,214,1762
Woven top (yellow),3,812,343,2004
Woven top (blue),3,845,357,1620
Shirt (yellow),3,780,330,2030
Shirt (lilac),3,812,343,1372
Bolt rack,500,50,27,76
Pot,5,1,0,5
Jug,2,1,0,3
Empty jug pack,5,182,??,Not sold
Shears,2,1,0,27
Bucket,3,2,0,6
Bowl,2,5,1,33
Cake tin,2,13,4,62
Tinderbox,3,1,0,73
Chisel,2,1,0,69
Hammer,5,1,0,41
Newcomer map,5,1,0,Not sold
Security book,5,2,0,22
Butterfly net,5,24,14,4
Butterfly jar,100,1,0,150
Magic box,30,720,420,460
Noose wand,50,4,2,2
Bird snare,50,6,3,8
Box trap,25,38,22,47
Teasing stick,5,60,35,3
Unlit torch,20,4,2,2
Rabbit snare,10,18,10,2
Bird snare pack,3,606,353,Not sold
Box trap pack,3,3840,2240,Not sold
Magic imp box pack,3,72000,42000,Not sold
Pot,3,1,0,5
Jug,2,1,0,3
Empty jug pack,4,140,??,Not sold
Waterskin (3),10,27,14,Not sold
Desert shirt,3,40,22,157
Desert boots,2,20,11,147
Bucket,19,2,1,6
Fake beard,11,1,0,271
Kharidian headpiece,12,1,0,271
Papyrus,50,10,5,201
Knife,5,6,3,96
Tinderbox,11,1,0,73
Bronze pickaxe,23,1,0,71
Raw chicken,15,1,0,37
Rake,500,6,4.0,190
Seed dibber,500,6,4.0,201
Secateurs,500,5,3.0,196
Spade,500,3,2.0,143
Gardening trowel,500,12,8.0,191
Watering can,500,8,5.0,186
Plant pot,500,1,0.0,5
Plant pot pack,30,100,70.0,Not sold
Compost,500,20,14.0,25
Compost pack,10,2000,1400.0,Not sold
Empty sack,500,1,0.0,2
Sack pack,30,100,70.0,Not sold
Basket,500,1,0.0,2
Basket pack,30,100,70.0,Not sold
Potato,0,1,0.0,28
Onion,0,3,,25
Cabbage,0,1,,27
Tomato,0,4,,77
Sweetcorn,0,9,,162
Strawberry,0,17,,157
watermelon,0,48,,14
Hammerstone hops,0,4,,92
Asgarnian hops,0,5,,180
Yanillian hops,0,7,,1330
Krandorian hops,0,10,,250
Wildblood hops,0,15,,189
Jute fibre,0,6,,965
Barley,0,4,,556
Plant cure,100,40,28.0,212
Bread,10,12,9,163
Cake,3,50,40,168
Chocolate slice,6,30,24,Not sold
Chocolate bar,9,10,8,83
Bear fur,3,12,,53
Grey wolf fur,3,60,,39
Polar kebbit fur,0,12,13.0,138
Common kebbit fur,0,14,14.0,2120
Feldip weasel fur,0,16,16.0,121
Desert devil fur,0,20,20.0,1445
Tatty larupia fur,0,72,61.0,770
Larupia fur,0,96,81.0,1326
Tatty graahk fur,0,108,91.0,711
Graahk fur,0,144,122.0,2033
Tatty kyatt fur,0,144,144.0,878
Kyatt fur,0,192,192.0,2605
Sapphire,2,375,200,590
Emerald,1,750,400,589
Ruby,1,1500,800,1090
Diamond,0,3000,1600,2037
Unstrung symbol,2,200,66,92
Silver ore,1,75,25,81
Silver bar,1,150,50,93
Spice,1,230,138.0,110
Knife,1,6,,96
Garlic,2,3,1.0,28
Bucket,10,3,1,6
Bronze pickaxe,2,1,0,71
Bowl,2,5,1,33
Cake tin,2,13,4,62
Tinderbox,2,1,0,73
Chisel,2,1,0,69
Hammer,5,1,0,41
Rope,2,23,7,57
Pot,2,1,0,5
Knife,2,7,2,96
Mithril chainbody,4,2145,1365,911
Mithril med helm,4,858,546,304
Mithril full helm,4,1573,1001,685
Mithril sq shield,4,1716,1092,689
Mithril kiteshield,4,2431,1547,1055
Mithril platelegs,4,2860,1820,1320
Mithril plateskirt,4,2860,1820,1404
Mithril platebody,4,5720,3640,2826
Rune med helm,0,19200,6400,11214
Rune full helm,0,35200,11733,20750
Rune platebody,0,65000,21667,38676
Rune plateskirt,0,64000,21333,37984
Rune sq shield,0,38400,12800,22691
Rune kiteshield,0,54400,18133,32248
Rune chainbody,0,50000,16667,29649
Rune platelegs,0,64000,21333,37992
Adamant med helm,0,1920,640,901
Adamant full helm,0,3520,1173,1847
Adamant platebody,0,16640,5546,9647
Adamant plateskirt,0,6400,2133,3814
Adamant sq shield,0,3840,1280,2059
Adamant kiteshield,0,5440,1813,3002
Adamant chainbody,0,4800,1600,2649
Adamant platelegs,0,6400,2133,3546
Mithril med helm,0,780,260,304
Mithril full helm,0,1430,476,685
Mithril platebody,0,5200,1733,2826
Mithril plateskirt,0,2600,866,1404
Mithril sq shield,0,1560,520,689
Mithril kiteshield,0,2210,736,1055
Mithril chainbody,0,1950,650,911
Mithril platelegs,0,2600,866,1320
Bronze arrow,200,1,0,7
Bronze bolts,200,1,0,3
Shortbow,4,75,25,39
Longbow,2,120,40,58
Crossbow,2,105,35,161
Bronze arrowtips,800,1,0,4
Iron arrowtips,800,3,1,13
Steel arrowtips,800,9,3,39
Mithril arrowtips,800,24,8,59
Iron axe,5,84,28,5
Steel axe,3,300,100,9
Iron battleaxe,5,273,91,14
Steel battleaxe,2,975,325,187
Mithril battleaxe,1,2535,845,760
Bronze 2h sword,4,120,40,11
Iron 2h sword,3,420,140,28
Steel 2h sword,2,1500,500,367
Black 2h sword,1,2880,960,976
Mithril 2h sword,1,3900,1300,1302
Adamant 2h sword,1,9600,3200,3597
Small fishing net,2,5,2,90
Harpoon,2,5,2,82
Raw monkfish,1,241,126,417
Monkfish,0,241,126,488
Bread,1,12,6,163
Pot,4,1,0,5
Bucket of milk,1,6,4,16
Needle,3,1,0,49
Thread,15,1,0,9
Beer,10,2,1,78
Glassblowing pipe,2,2,1,163
Knife,1,6,3,96
Air rune,5000,4,2,5
Mind rune,5000,3,1,4
Fire rune,5000,4,2,5
Water rune,5000,4,2,5
Earth rune,5000,4,2,5
Body rune,5000,3,1,5
Chaos rune,250,90,90,101
Death rune,250,180,99,270
Fire rune pack,80,430,236,Not sold
Water rune pack,80,430,236,Not sold
Air rune pack,80,430,236,Not sold
Earth rune pack,80,430,236,Not sold
Mind rune pack,40,330,181,Not sold
Chaos rune pack,35,9950,5472,Not sold
Bronze axe,10,20,6,9
Tinderbox,10,1,0,73
Thin snail,10,6,2,795
Raw mackerel,10,22,6,67
Bronze javelin,900,5,2,2
Iron javelin,800,7,2,4
Steel javelin,700,31,12,12
Mithril javelin,600,83,32,41
Adamant javelin,500,208,82,71
Rune javelin,400,520,208,158
Bronze thrownaxe,900,3,1,12
Iron thrownaxe,800,9,4,40
Steel thrownaxe,700,33,12,16
Mithril thrownaxe,600,91,35,91
Adamant thrownaxe,500,228,87,119
Rune thrownaxe,400,572,232,192
Feather,1000,2,0,3
Feather pack,100,260,80,Not sold
Iron arrow,40,3,1,9
Steel arrow,10,16,5,33
Iron arrowtips,30,2,0,13
Steel arrowtips,20,7,2,39
Air rune,5000,4,2,5
Water rune,5000,4,2,5
Earth rune,5000,4,2,5
Fire rune,5000,4,2,5
Mind rune,5000,3,1,4
Body rune,5000,16,1,5
Chaos rune,250,90,49,101
Nature rune,250,180,99,277
Death rune,250,180,99,270
Law rune,250,240,132,300
Blood rune,250,400,220,303
Soul rune,250,300,161,147
Astral rune,250,50,27,174
Fire rune pack,80,430,236,Not sold
Water rune pack,80,430,236,Not sold
Air rune pack,80,430,236,Not sold
Earth rune pack,80,430,236,Not sold
Mind rune pack,40,330,181,Not sold
Chaos rune pack,35,9950,5472,Not sold
Battlestaff,5,7000,3850,8256
Staff of fire,2,1500,900,1466
Staff of water,2,1500,900,1669
Staff of air,2,1500,900,1667
Staff of earth,2,1500,900,1247
Lunar signet,5,2,No,Not sold
Moonclan manual,100,1,No,Not sold
Waterskin (4),5,30,??,99
Waterskin (0),5,15,??,48
Jug of water,5,1,??,20
Bowl of water,5,4,??,36
Bucket of water,5,6,??,19
Jug,5,1,??,3
Empty jug pack,8,140,??,Not sold
Bowl,5,4,??,33
Bucket,5,2,??,6
Desert boots,5,20,??,147
Desert shirt,5,40,??,157
Desert robe,5,40,??,114
Knife,5,6,??,96
Pot,5,1,0,5
Jug,2,1,0,3
Empty jug pack,5,126,84,Not sold
Tinderbox,2,1,0,73
Chisel,2,1,0,69
Hammer,5,1,0,41
Bronze pickaxe,5,1,0,71
Bronze axe,10,14,10,9
Grey boots,5,650,200,944
Grey robe top,5,650,200,963
Grey robe bottoms,5,650,200,975
Grey hat,5,650,200,974
Grey gloves,5,650,200,1100
Red boots,5,650,200,1126
Red robe top,5,650,200,1023
Red robe bottoms,5,650,200,952
Red hat,5,650,200,1045
Red gloves,5,650,200,1007
Yellow boots,5,650,200,1083
Yellow robe top,5,650,200,877
Yellow robe bottoms,5,650,200,827
Yellow hat,5,650,200,975
Yellow gloves,5,650,200,1017
Teal boots,5,650,200,838
Teal robe top,5,650,200,820
Teal robe bottoms,5,650,200,828
Teal hat,5,650,200,963
Teal gloves,5,650,200,984
Purple boots,5,650,200,967
Purple robe top,5,650,200,871
Purple robe bottoms,5,650,200,833
Purple hat,5,650,200,1150
Purple gloves,5,650,200,875
Red cape,5,2,0,34
Black cape,5,9,2,255
Blue cape,5,41,12,278
Yellow cape,5,41,12,235
Green cape,5,41,12,406
Fire rune,100,4,2,5
Water rune,100,4,2,5
Air rune,100,4,2,5
Earth rune,100,4,2,5
Mind rune,100,3,1,4
Body rune,100,3,1,5
Chaos rune,50,90,54,101
Death rune,50,180,108,270
Fire rune pack,35,430,258,Not sold
Water rune pack,35,430,258,Not sold
Air rune pack,35,430,258,Not sold
Earth rune pack,35,430,258,Not sold
Mind rune pack,25,330,198,Not sold
Chaos rune pack,25,9950,5970,Not sold
Waterskin (4),5,36,??,99
Waterskin (0),5,18,??,48
Jug of water,5,1,??,20
Bowl of water,5,4,??,36
Bucket of water,5,7,??,19
Knife,5,7,??,96
Hammer,5,1,??,41
Fire rune,5000,4,2,5
Water rune,5000,4,2,5
Air rune,5000,4,2,5
